schoolname,ncesid,ncesdistid_geo,distname,level,ppe,enroll,sesavgall,baplusavgall,unempavgall,snapavgall,locale,frpl,inc50avgall
Buena Vista Elementary School,4.10474E+11,4104740,Eugene SD 4J,Elementary,13437.69588,446.2790698,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.34,45284
Cal Young Middle School,4.10474E+11,4104740,Eugene SD 4J,Middle,14539.74587,505.0708211,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.34,45284
Camas Ridge Community Elementary,4.10474E+11,4104740,Eugene SD 4J,Elementary,14426.74991,359.9119718,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.46,45284
Cesar Chavez Elementary School,4.10474E+11,4104740,Eugene SD 4J,Elementary,16483.93146,408.494186,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.993625151,45284
Charlemagne French Immersion Elementary School,4.10474E+11,4104740,Eugene SD 4J,Elementary,14045.92072,339.9186047,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.17,45284
Chinese Language Immersion School,4.10474E+11,4104740,Eugene SD 4J,Elementary,12787.93123,55.05793013,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.32,45284
Churchill High School,4.10474E+11,4104740,Eugene SD 4J,High,15919.22153,1061.571965,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.49,45284
Coburg Community Charter School,4.10474E+11,4104740,Eugene SD 4J,Middle,7975.413322,224.3532934,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.05,45284
Corridor Elementary School,4.10474E+11,4104740,Eugene SD 4J,Elementary,15951.2919,174.4912791,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.55,45284
Edgewood Community Elementary School,4.10474E+11,4104740,Eugene SD 4J,Elementary,14598.94507,391.1735263,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.29,45284
Edison Elementary School,4.10474E+11,4104740,Eugene SD 4J,Elementary,15209.19628,318.5462524,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.43,45284
Eugene Education Options,4.10474E+11,4104740,Eugene SD 4J,High,19398.22009,189.1719399,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.69,45284
Family School,4.10474E+11,4104740,Eugene SD 4J,Elementary,16833.04932,164.871178,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.62,45284
Gilham Elementary School,4.10474E+11,4104740,Eugene SD 4J,Elementary,14035.29544,539.372093,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.39,45284
Holt Elementary School,4.10474E+11,4104740,Eugene SD 4J,Elementary,14649.40794,547.6366279,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.59,45284
Howard Elementary School,4.10474E+11,4104740,Eugene SD 4J,Elementary,15695.9962,487.764936,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.974443773,45284
Kelly Middle School,4.10474E+11,4104740,Eugene SD 4J,Middle,15798.64637,405.7809342,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.72,45284
Kennedy Middle School,4.10474E+11,4104740,Eugene SD 4J,Middle,14590.70582,374.9834668,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.57,45284
Madison Middle School,4.10474E+11,4104740,Eugene SD 4J,Middle,14993.30872,416.0930152,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.52,45284
McCornack Elementary School,4.10474E+11,4104740,Eugene SD 4J,Elementary,16197.711,334.1569767,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.969399035,45284
Monroe Middle School,4.10474E+11,4104740,Eugene SD 4J,Middle,13831.69159,563.6831574,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.45,45284
Network Charter School,4.10474E+11,4104740,Eugene SD 4J,High,7956.814085,111.5337283,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.986935161,45284
North Eugene High School,4.10474E+11,4104740,Eugene SD 4J,High,16468.77593,910.5459392,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.51,45284
Ridgeline Montessori,4.10474E+11,4104740,Eugene SD 4J,Middle,7976.266098,243.0545363,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.33,45284
River Road/El Camino del Rio Elementary School,4.10474E+11,4104740,Eugene SD 4J,Elementary,15050.30907,377.0930233,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.962836406,45284
Roosevelt Middle School,4.10474E+11,4104740,Eugene SD 4J,Middle,14170.42638,569.0203446,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.29,45284
Sheldon High School,4.10474E+11,4104740,Eugene SD 4J,High,15573.26258,1365.704634,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.28,45284
South Eugene High School,4.10474E+11,4104740,Eugene SD 4J,High,14836.36614,1444.933916,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.25,45284
Spencer Butte Middle School,4.10474E+11,4104740,Eugene SD 4J,Middle,14476.93631,428.2367117,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.32,45284
Spring Creek Elementary School,4.10474E+11,4104740,Eugene SD 4J,Elementary,14919.07962,287.0930233,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.56,45284
Twin Oaks Elementary School,4.10474E+11,4104740,Eugene SD 4J,Elementary,14341.54001,232.0697674,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.44,45284
Twin Rivers Charter School,4.10474E+11,4104740,Eugene SD 4J,High,7956.814085,36.39595376,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.003696632,45284
Village School,4.10474E+11,4104740,Eugene SD 4J,Middle,8218.788255,223.6212829,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.63,45284
Willagillespie Elementary School,4.10474E+11,4104740,Eugene SD 4J,Elementary,13859.11454,509.4360465,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.48,45284
Yujin Gakuen Elementary School,4.10474E+11,4104740,Eugene SD 4J,Elementary,13613.63897,315.622093,-0.042874832,0.42255655,0.078092285,0.15223822,Urban,0.36,45284
Falls City Elementary School,4.1E+11,4100003,Falls City SD 57,Middle,23381.53522,118.4630872,-0.65023571,0.1637889,0.073080689,0.21503466,Rural,0.94576598,45827
Falls City High School,4.1E+11,4100003,Falls City SD 57,High,25992.44542,76.06545599,-0.65023571,0.1637889,0.073080689,0.21503466,Rural,0.99976941,45827
Elmira Elementary School,4.10495E+11,4104950,Fern Ridge SD 28J,Elementary,11480.98775,274.4294848,0.1442695,0.18315071,0.063061945,0.14230153,Rural,0.56,53700
Elmira High School,4.10495E+11,4104950,Fern Ridge SD 28J,High,17058.94673,380.3170634,0.1442695,0.18315071,0.063061945,0.14230153,Rural,0.39,53700
Fern Ridge Middle School,4.10495E+11,4104950,Fern Ridge SD 28J,Middle,11612.62412,356.7476877,0.1442695,0.18315071,0.063061945,0.14230153,Rural,0.52,53700
Veneta Elementary School,4.10495E+11,4104950,Fern Ridge SD 28J,Elementary,11259.42379,371.2550185,0.1442695,0.18315071,0.063061945,0.14230153,Rural,0.54,53700
West Lane Technology Learning Center,4.10495E+11,4104950,Fern Ridge SD 28J,High,6405.142019,88.06569413,0.1442695,0.18315071,0.063061945,0.14230153,Rural,0.52,53700
Cornelius Elementary School,4.10516E+11,4105160,Forest Grove SD 15,Elementary,14105.0072,363.7109485,0.022781299,0.20543873,0.074371926,0.15191555,Suburb,0.997866133,54532
Dilley Elementary School,4.10516E+11,4105160,Forest Grove SD 15,Elementary,13070.01291,243.6666297,0.022781299,0.20543873,0.074371926,0.15191555,Suburb,0.22,54532
Echo Shaw Elementary School,4.10516E+11,4105160,Forest Grove SD 15,Elementary,14302.52494,414.0262068,0.022781299,0.20543873,0.074371926,0.15191555,Suburb,0.84,54532
Fern Hill Elementary School,4.10516E+11,4105160,Forest Grove SD 15,Elementary,15273.16496,259.9481408,0.022781299,0.20543873,0.074371926,0.15191555,Suburb,0.991664118,54532
Forest Grove Community School,4.10516E+11,4105160,Forest Grove SD 15,Middle,4894.718853,199.843377,0.022781299,0.20543873,0.074371926,0.15191555,Suburb,0.12,54532
Forest Grove High School,4.10516E+11,4105160,Forest Grove SD 15,High,14011.65471,1855.291388,0.022781299,0.20543873,0.074371926,0.15191555,Suburb,0.52,54532
Harvey Clarke Elementary School,4.10516E+11,4105160,Forest Grove SD 15,Elementary,13552.16184,489.1671102,0.022781299,0.20543873,0.074371926,0.15191555,Suburb,0.36,54532
Joseph Gale Elementary School,4.10516E+11,4105160,Forest Grove SD 15,Elementary,13737.54437,501.0503807,0.022781299,0.20543873,0.074371926,0.15191555,Suburb,0.69,54532
Neil Armstrong Middle School,4.10516E+11,4105160,Forest Grove SD 15,Middle,12947.73093,884.2775606,0.022781299,0.20543873,0.074371926,0.15191555,Suburb,0.59,54532
Tom McCall Upper Elementary,4.10516E+11,4105160,Forest Grove SD 15,Elementary,14168.95018,782.1123419,0.022781299,0.20543873,0.074371926,0.15191555,Suburb,0.6,54532
Gaston Elementary School,4.10543E+11,4105430,Gaston SD 511J,Elementary,11382.24927,271.7912933,0.60825872,0.19587392,0.069845401,0.10700898,Rural,0.46,71290
Gaston Jr/Sr High School,4.10543E+11,4105430,Gaston SD 511J,High,13079.43794,292.6227545,0.60825872,0.19587392,0.069845401,0.10700898,Rural,0.38,71290
Frontier Charter Academy,4.10002E+11,4100015,Gervais SD 1,High,5185.153188,322.2444444,0.023147419,0.14022154,0.077284075,0.13898155,Suburb,0.47,54731
Gervais Elementary School,4.10002E+11,4100015,Gervais SD 1,Elementary,13146.14302,411.0267857,0.023147419,0.14022154,0.077284075,0.13898155,Suburb,0.94180619,54731
Gervais High School,4.10002E+11,4100015,Gervais SD 1,High,14808.06958,288.8065476,0.023147419,0.14022154,0.077284075,0.13898155,Suburb,0.980672571,54731
Gervais Middle School,4.10002E+11,4100015,Gervais SD 1,Middle,12353.88581,241.922619,0.023147419,0.14022154,0.077284075,0.13898155,Suburb,0.952922913,54731
Samuel Brown Academy,4.10002E+11,4100015,Gervais SD 1,High,13109.24228,28.19288467,0.023147419,0.14022154,0.077284075,0.13898155,Suburb,0.982833044,54731
Gladstone Center for Children and Families,4.10561E+11,4105610,Gladstone SD 115,Early Ed,5634.52497,122.439759,0.020814128,0.23138338,0.068479262,0.13711359,Suburb,0.48,53955
Gladstone High School,4.10561E+11,4105610,Gladstone SD 115,High,14016.84117,643.0104607,0.020814128,0.23138338,0.068479262,0.13711359,Suburb,0.37,53955
John Wetten Elementary School,4.10561E+11,4105610,Gladstone SD 115,Elementary,11805.71127,728.4171598,0.020814128,0.23138338,0.068479262,0.13711359,Suburb,0.44,53955
Walter L Kraxberger Middle School,4.10561E+11,4105610,Gladstone SD 115,Middle,12666.76263,465.4559701,0.020814128,0.23138338,0.068479262,0.13711359,Suburb,0.41,53955
Glendale Community Charter School,4.10564E+11,4105640,Glendale SD 77,High,24605.58761,98.65333333,-0.63155144,0.10818315,0.092600197,0.18691289,Rural,0.988826372,41622
Glendale Elementary School,4.10564E+11,4105640,Glendale SD 77,Middle,17378.63911,196.3202614,-0.63155144,0.10818315,0.092600197,0.18691289,Rural,0.94034012,41622
Glide Elementary School,4.10567E+11,4105670,Glide SD 12,Elementary,13251.61497,415.5788012,-0.035857268,0.22439007,0.091071524,0.1018775,Rural,0.59,50129
Glide High School,4.10567E+11,4105670,Glide SD 12,High,16470.23976,213.5940947,-0.035857268,0.22439007,0.091071524,0.1018775,Rural,0.48,50129
Glide Middle School,4.10567E+11,4105670,Glide SD 12,Middle,13211.76429,111.6585364,-0.035857268,0.22439007,0.091071524,0.1018775,Rural,0.56,50129
Allen Dale Elementary School,4.10591E+11,4105910,Grants Pass SD 7,Elementary,11338.67904,467.1556886,-0.50236207,0.1626295,0.077790409,0.19526716,Urban,0.977338259,39906
Grants Pass High School,4.10591E+11,4105910,Grants Pass SD 7,High,13486.8031,1824.626904,-0.50236207,0.1626295,0.077790409,0.19526716,Urban,0.953378662,39906
Highland Elementary School,4.10591E+11,4105910,Grants Pass SD 7,Elementary,10631.83055,474.3783918,-0.50236207,0.1626295,0.077790409,0.19526716,Urban,0.974669242,39906
Lincoln Elementary School,4.10591E+11,4105910,Grants Pass SD 7,Elementary,11901.35728,430.8272198,-0.50236207,0.1626295,0.077790409,0.19526716,Urban,0.963409968,39906
North Middle School,4.10591E+11,4105910,Grants Pass SD 7,Middle,11708.23426,787.8995827,-0.50236207,0.1626295,0.077790409,0.19526716,Urban,0.965060299,39906
Parkside Elementary,4.10591E+11,4105910,Grants Pass SD 7,Elementary,12975.89931,443.5488331,-0.50236207,0.1626295,0.077790409,0.19526716,Urban,0.94914344,39906
Redwood Elementary School,4.10591E+11,4105910,Grants Pass SD 7,Elementary,12031.85472,478.7065868,-0.50236207,0.1626295,0.077790409,0.19526716,Urban,0.979846011,39906
Riverside Elementary School,4.10591E+11,4105910,Grants Pass SD 7,Elementary,13317.61729,382.007555,-0.50236207,0.1626295,0.077790409,0.19526716,Urban,0.995007662,39906
South Middle School,4.10591E+11,4105910,Grants Pass SD 7,Middle,11511.73699,675.0331894,-0.50236207,0.1626295,0.077790409,0.19526716,Urban,0.968605551,39906
Albany Options School,4.10112E+11,4101120,Greater Albany Public SD 8J,High,15501.12335,139.0786728,0.069218487,0.23586209,0.075983867,0.14974988,Urban,0.59,53065
Calapooia Middle School,4.10112E+11,4101120,Greater Albany Public SD 8J,Middle,12148.97263,646.2127163,0.069218487,0.23586209,0.075983867,0.14974988,Urban,0.59,53065
Central Elementary School,4.10112E+11,4101120,Greater Albany Public SD 8J,Elementary,15094.24396,136.1035518,0.069218487,0.23586209,0.075983867,0.14974988,Urban,0.960946478,53065
Clover Ridge Elementary School,4.10112E+11,4101120,Greater Albany Public SD 8J,Elementary,13007.62259,360.7710912,0.069218487,0.23586209,0.075983867,0.14974988,Urban,0.32,53065
Lafayette Elementary School,4.10112E+11,4101120,Greater Albany Public SD 8J,Elementary,14570.31607,332.421824,0.069218487,0.23586209,0.075983867,0.14974988,Urban,0.979098379,53065
Liberty Elementary School,4.10112E+11,4101120,Greater Albany Public SD 8J,Elementary,12069.70972,346.2096191,0.069218487,0.23586209,0.075983867,0.14974988,Urban,0.31,53065
Memorial Middle School,4.10112E+11,4101120,Greater Albany Public SD 8J,Middle,12311.27711,580.8956399,0.069218487,0.23586209,0.075983867,0.14974988,Urban,0.46,53065
North Albany Elementary School,4.10112E+11,4101120,Greater Albany Public SD 8J,Elementary,13491.83297,241.5323796,0.069218487,0.23586209,0.075983867,0.14974988,Urban,0.18,53065
North Albany Middle School,4.10112E+11,4101120,Greater Albany Public SD 8J,Middle,12715.18231,593.5711621,0.069218487,0.23586209,0.075983867,0.14974988,Urban,0.35,53065
Oak Elementary School,4.10112E+11,4101120,Greater Albany Public SD 8J,Elementary,12485.10947,319.8070014,0.069218487,0.23586209,0.075983867,0.14974988,Urban,0.945709649,53065
Oak Grove Elementary School,4.10112E+11,4101120,Greater Albany Public SD 8J,Elementary,11252.39432,268.6432749,0.069218487,0.23586209,0.075983867,0.14974988,Urban,0.19,53065
Periwinkle Elementary School,4.10112E+11,4101120,Greater Albany Public SD 8J,Elementary,12362.44509,447.9752433,0.069218487,0.23586209,0.075983867,0.14974988,Urban,0.96084339,53065
South Albany High School,4.10112E+11,4101120,Greater Albany Public SD 8J,High,13747.67545,1351.143277,0.069218487,0.23586209,0.075983867,0.14974988,Urban,0.46,53065
South Shore Elementary School,4.10112E+11,4101120,Greater Albany Public SD 8J,Elementary,13438.93886,425.6010005,0.069218487,0.23586209,0.075983867,0.14974988,Urban,0.981874061,53065
Sunrise Elementary School,4.10112E+11,4101120,Greater Albany Public SD 8J,Elementary,14520.03715,333.3756219,0.069218487,0.23586209,0.075983867,0.14974988,Urban,0.947806179,53065
Takena Elementary School,4.10112E+11,4101120,Greater Albany Public SD 8J,Elementary,14048.76067,142.7092132,0.069218487,0.23586209,0.075983867,0.14974988,Urban,0.971092216,53065
Tangent Elementary School,4.10112E+11,4101120,Greater Albany Public SD 8J,Elementary,16085.96203,135.4579595,0.069218487,0.23586209,0.075983867,0.14974988,Urban,0.952161551,53065
Timber Ridge School,4.10112E+11,4101120,Greater Albany Public SD 8J,Middle,5616.860207,727.40592,0.069218487,0.23586209,0.075983867,0.14974988,Urban,0.33,53065
Waverly Elementary School,4.10112E+11,4101120,Greater Albany Public SD 8J,Elementary,15211.55108,272.8571629,0.069218487,0.23586209,0.075983867,0.14974988,Urban,0.961983856,53065
West Albany High School,4.10112E+11,4101120,Greater Albany Public SD 8J,High,13348.07557,1245.754527,0.069218487,0.23586209,0.075983867,0.14974988,Urban,0.25,53065
Clear Creek Middle School,4.106E+11,4106000,Gresham-Barlow SD 10J,Middle,11578.65843,643.9989731,0.20734327,0.22115143,0.067983732,0.13182335,Suburb,0.989697662,56832
Deep Creek â€“ Damascus K-8 School,4.106E+11,4106000,Gresham-Barlow SD 10J,Middle,12575.08129,424.2699093,0.20734327,0.22115143,0.067983732,0.13182335,Suburb,0.2,56832
Dexter McCarty Middle School,4.106E+11,4106000,Gresham-Barlow SD 10J,Middle,13405.2189,508.1972493,0.20734327,0.22115143,0.067983732,0.13182335,Suburb,0.57,56832
East Gresham Elementary School,4.106E+11,4106000,Gresham-Barlow SD 10J,Elementary,14546.29153,369.7566214,0.20734327,0.22115143,0.067983732,0.13182335,Suburb,0.96898188,56832
East Orient Elementary School,4.106E+11,4106000,Gresham-Barlow SD 10J,Elementary,10915.31558,487.514868,0.20734327,0.22115143,0.067983732,0.13182335,Suburb,0.24,56832
Gordon Russell Middle School,4.106E+11,4106000,Gresham-Barlow SD 10J,Middle,11157.4242,827.2726164,0.20734327,0.22115143,0.067983732,0.13182335,Suburb,0.51,56832
Gresham Arthur Academy,4.106E+11,4106000,Gresham-Barlow SD 10J,Elementary,3997.719971,170.4739364,0.20734327,0.22115143,0.067983732,0.13182335,Suburb,0.26,56832
Gresham High School,4.106E+11,4106000,Gresham-Barlow SD 10J,High,12630.66391,1439.533141,0.20734327,0.22115143,0.067983732,0.13182335,Suburb,0.5,56832
Hall Elementary School,4.106E+11,4106000,Gresham-Barlow SD 10J,Elementary,12074.62679,409.9147515,0.20734327,0.22115143,0.067983732,0.13182335,Suburb,0.940145856,56832
Highland Elementary School,4.106E+11,4106000,Gresham-Barlow SD 10J,Elementary,12978.31772,479.7868496,0.20734327,0.22115143,0.067983732,0.13182335,Suburb,0.950943264,56832
Hogan Cedars Elementary School,4.106E+11,4106000,Gresham-Barlow SD 10J,Elementary,12427.3826,558.7693089,0.20734327,0.22115143,0.067983732,0.13182335,Suburb,0.940054275,56832
Hollydale Elementary School,4.106E+11,4106000,Gresham-Barlow SD 10J,Elementary,12249.44077,437.7269164,0.20734327,0.22115143,0.067983732,0.13182335,Suburb,0.53,56832
Kelly Creek Elementary School,4.106E+11,4106000,Gresham-Barlow SD 10J,Elementary,11512.24328,507.7696728,0.20734327,0.22115143,0.067983732,0.13182335,Suburb,0.42,56832
Lewis and Clark Montessori Charter School,4.106E+11,4106000,Gresham-Barlow SD 10J,Middle,3997.719971,368.903088,0.20734327,0.22115143,0.067983732,0.13182335,Suburb,0.004794129,56832
Metro East Web Academy,4.106E+11,4106000,Gresham-Barlow SD 10J,High,4488.510662,538.8848342,0.20734327,0.22115143,0.067983732,0.13182335,Suburb,0.39,56832
North Gresham Elementary School,4.106E+11,4106000,Gresham-Barlow SD 10J,Elementary,12678.83074,502.9258345,0.20734327,0.22115143,0.067983732,0.13182335,Suburb,0.997392689,56832
Powell Valley Elementary School,4.106E+11,4106000,Gresham-Barlow SD 10J,Elementary,10890.27875,461.5941035,0.20734327,0.22115143,0.067983732,0.13182335,Suburb,0.43,56832
Sam Barlow High School,4.106E+11,4106000,Gresham-Barlow SD 10J,High,12516.68114,1583.869177,0.20734327,0.22115143,0.067983732,0.13182335,Suburb,0.34,56832
Springwater Trail High School,4.106E+11,4106000,Gresham-Barlow SD 10J,High,14383.65362,187.3834405,0.20734327,0.22115143,0.067983732,0.13182335,Suburb,0.51,56832
West Gresham Elementary School,4.106E+11,4106000,Gresham-Barlow SD 10J,Elementary,12925.8857,287.024187,0.20734327,0.22115143,0.067983732,0.13182335,Suburb,0.44,56832
West Orient Middle School,4.106E+11,4106000,Gresham-Barlow SD 10J,Middle,11544.0634,472.9734229,0.20734327,0.22115143,0.067983732,0.13182335,Suburb,0.36,56832
Burns High School,4.10249E+11,4102490,Harney County SD 3,High,17083.14315,227.8596127,-0.64195263,0.15914887,0.096780322,0.2038351,Town,0.45,39656
Henry L Slater Elementary School,4.10249E+11,4102490,Harney County SD 3,Elementary,12029.18406,423.8287671,-0.64195263,0.15914887,0.096780322,0.2038351,Town,0.62,39656
Hines Middle School,4.10249E+11,4102490,Harney County SD 3,Middle,13809.1419,199.2876712,-0.64195263,0.15914887,0.096780322,0.2038351,Town,0.59,39656
Crane Elementary School,4.1036E+11,4103600,Harney County SD 4,Middle,34655.68203,103.7092199,0.57364196,0.20224905,0.065056719,0.054926697,Rural,0.46,46842
Harrisburg Elementary School,4.10002E+11,4100019,Harrisburg SD 7J,Elementary,10437.09534,381.2694581,0.010362917,0.15994924,0.07061328,0.14106086,Town,0.56,51863
Harrisburg High School,4.10002E+11,4100019,Harrisburg SD 7J,High,14724.92913,252.956287,0.010362917,0.15994924,0.07061328,0.14106086,Town,0.53,51863
Helix School,4.10627E+11,4106270,Helix SD 1,High,17330.83197,183.2159763,0.67074692,0.28036836,0.053795602,0.1043689,Rural,0.19,64153
Armand Larive Middle School,4.1063E+11,4106300,Hermiston SD 8,Middle,10745.31187,788.045977,-0.38980538,0.15344229,0.079850197,0.18323983,Town,0.58,49951
Desert View Elementary School,4.1063E+11,4106300,Hermiston SD 8,Elementary,11294.93234,578.0969411,-0.38980538,0.15344229,0.079850197,0.18323983,Town,0.54,49951
Hermiston High School,4.1063E+11,4106300,Hermiston SD 8,High,12610.10874,1589.097344,-0.38980538,0.15344229,0.079850197,0.18323983,Town,0.5,49951
Highland Hills Elementary School,4.1063E+11,4106300,Hermiston SD 8,Elementary,11502.44618,472.6794802,-0.38980538,0.15344229,0.079850197,0.18323983,Town,0.55,49951
Rocky Heights Elementary School,4.1063E+11,4106300,Hermiston SD 8,Elementary,11701.61634,507.4121907,-0.38980538,0.15344229,0.079850197,0.18323983,Town,0.64,49951
Sandstone Middle School,4.1063E+11,4106300,Hermiston SD 8,Middle,12200.63729,569.5804598,-0.38980538,0.15344229,0.079850197,0.18323983,Town,0.62,49951
Sunset Elementary School,4.1063E+11,4106300,Hermiston SD 8,Elementary,11210.77097,597.495896,-0.38980538,0.15344229,0.079850197,0.18323983,Town,0.77,49951
West Park Elementary School,4.1063E+11,4106300,Hermiston SD 8,Elementary,11717.54793,577.3722298,-0.38980538,0.15344229,0.079850197,0.18323983,Town,0.79,49951
Brookwood Elementary School,4.10002E+11,4100023,Hillsboro SD 1J,Elementary,14783.40092,330.7557456,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.96751423,69650
Butternut Creek Elementary School,4.10002E+11,4100023,Hillsboro SD 1J,Elementary,13940.14256,390.4650042,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.997729563,69650
Century High School,4.10002E+11,4100023,Hillsboro SD 1J,High,13688.47557,1535.825611,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.43,69650
City View Charter School,4.10002E+11,4100023,Hillsboro SD 1J,Middle,4427.753053,189.7388296,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.06,69650
Eastwood Elementary School,4.10002E+11,4100023,Hillsboro SD 1J,Elementary,13627.2802,438.7097811,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.982653769,69650
Evergreen Jr High School,4.10002E+11,4100023,Hillsboro SD 1J,Middle,12858.69469,797.1276505,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.51,69650
Farmington View Elementary School,4.10002E+11,4100023,Hillsboro SD 1J,Elementary,11531.94793,311.9866175,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.37,69650
Free Orchards Elementary School,4.10002E+11,4100023,Hillsboro SD 1J,Elementary,15356.81957,361.0097399,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.95337796,69650
Glencoe High School,4.10002E+11,4100023,Hillsboro SD 1J,High,13576.40374,1473.246453,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.4,69650
Groner K-8,4.10002E+11,4100023,Hillsboro SD 1J,Middle,17319.06279,211.5652851,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.940112688,69650
Hillsboro High School,4.10002E+11,4100023,Hillsboro SD 1J,High,15231.84757,1245.750603,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.59,69650
Hillsboro Online Academy,4.10002E+11,4100023,Hillsboro SD 1J,High,4427.753053,181.8681998,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.33,69650
Imlay Elementary School,4.10002E+11,4100023,Hillsboro SD 1J,Elementary,13703.9065,512.6366124,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.37,69650
Indian Hills Elementary School,4.10002E+11,4100023,Hillsboro SD 1J,Elementary,12844.11905,482.781234,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.4,69650
J W Poynter Middle School,4.10002E+11,4100023,Hillsboro SD 1J,Middle,12456.09767,747.0728256,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.5,69650
Jackson Elementary School,4.10002E+11,4100023,Hillsboro SD 1J,Elementary,12863.42653,552.4035622,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.26,69650
Ladd Acres Elementary School,4.10002E+11,4100023,Hillsboro SD 1J,Elementary,12408.59086,544.7389707,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.36,69650
Lenox Elementary School,4.10002E+11,4100023,Hillsboro SD 1J,Elementary,12587.07392,501.0766074,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.34,69650
Liberty High School,4.10002E+11,4100023,Hillsboro SD 1J,High,13752.09023,1499.310478,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.42,69650
Lincoln Street Elementary School,4.10002E+11,4100023,Hillsboro SD 1J,Elementary,15329.81528,475.0056076,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.985202243,69650
Minter Bridge Elementary School,4.10002E+11,4100023,Hillsboro SD 1J,Elementary,12351.43687,474.2838577,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.961930767,69650
Mooberry Elementary School,4.10002E+11,4100023,Hillsboro SD 1J,Elementary,13888.81893,429.051848,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.99631819,69650
North Plains Elementary School,4.10002E+11,4100023,Hillsboro SD 1J,Elementary,13448.77307,386.4986657,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.3,69650
Orenco Elementary School,4.10002E+11,4100023,Hillsboro SD 1J,Elementary,12903.37303,641.1853228,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.3,69650
Paul L Patterson Elementary School,4.10002E+11,4100023,Hillsboro SD 1J,Elementary,13209.56846,454.6172818,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.26,69650
Quatama Elementary School,4.10002E+11,4100023,Hillsboro SD 1J,Elementary,12856.39698,513.2240606,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.35,69650
R A Brown Middle School,4.10002E+11,4100023,Hillsboro SD 1J,Middle,11997.22676,728.7787001,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.48,69650
Reedville Elementary School,4.10002E+11,4100023,Hillsboro SD 1J,Elementary,16403.12256,250.8351761,0.71812743,0.33782411,0.061095558,0.096887529,Urban,0.963516627,69650
