sedalea,sedaleaname,fips,stateabb,math,read,pernam,perasn,perhsp,perblk,perwht,perfl,perecd,perell,perspeced,totenrl,rsflnfl,sesavgall,lninc50avgall,baplusavgall,unempavgall,snapavgall,single_momavgall,locale
1732830,PROPHETSTOWN-LYNDON-TAMPICO CUSD3                           ,17,IL,0.137356521278852,0.196445259295763,0.00022800517,0.0033193293,0.019358443,0.0036101956,0.97348404,0.41473317,0.5383426,0.00050251256,0.20448779,372.9,0.0038931747,0.24396068,10.807856,0.16081555,0.0685817,0.08479508,0.12026065,Rural
1732850,PROSPECT HEIGHTS SD 23                                      ,17,IL,0.319980922892142,0.24189132957098,0.0022107684,0.090977177,0.17255963,0.017287482,0.7169649,0.21078397,0.22089171,0.12025854,0.12717247,991.4,0.00034796985,1.4332669,11.180395,0.45667163,0.038362414,0.033146922,0.11433344,Urban
1732960,PUTNAM COUNTY CUSD 535                                      ,17,IL,0.00610195764479526,0.0361676242533367,0,0.0057914937,0.089813001,0.0091056824,0.89528984,0.28106219,0.34426081,0.013449543,0.14765166,376.7,0,0.60094339,10.978085,0.1249178,0.058045767,0.068912059,0.090957813,Rural
1732970,QUEEN BEE SD 16                                             ,17,IL,0.0291322843897473,0.0466295268207324,0.0014353126,0.23335539,0.47951663,0.062073138,0.22361955,0.39183587,0.4659324,0.31876427,0.12450218,1263.5,0.00011898099,0.98202527,11.238918,0.30490562,0.052213933,0.056028333,0.15619634,Suburb
1733000,QUINCY SD 172                                               ,17,IL,-0.0888289703748742,-0.0275338231595804,0.0018345106,0.010227679,0.020825664,0.095934175,0.87117797,0.45491177,0.56154329,0.0022755146,0.19246346,2879.8,0.0283108,0.13488051,10.719551,0.25054136,0.05499408,0.12913421,0.16695799,Town
1733030,RACCOON CONS SD 1                                           ,17,IL,-0.0648019361428511,0.0255825331754389,0,0.0020346129,0.020570435,0.019476812,0.95791817,0.49979809,0.54026002,0.00040983604,0.25482553,150.4,0,0.50877726,10.903263,0.16114821,0.0713071,0.096349508,0.079855748,Rural
1733090,RAMSEY CUSD 204                                             ,17,IL,-0.125459470563547,-0.144556473475405,0,0.0015384326,0.0047726277,0.0066751423,0.98701382,0.48839065,0.58795536,0,0.19966251,219.8,0,-0.39343679,10.556463,0.080809891,0.066046014,0.14370254,0.11758095,Rural
1733120,RANKIN CSD 98                                               ,17,IL,-0.0391985551312416,-0.0547632079946098,0.012881394,0.014027216,0.011797515,0.012458683,0.94883519,0.22646093,0.31614944,0.009784013,0.17546532,161.9,0,1.045656,11.111289,0.13043989,0.039848585,0.033701234,0.09623161,Rural
1733210,RANTOUL CITY SD 137                                         ,17,IL,-0.299266555508501,-0.244582412996052,0.0016545989,0.013069127,0.20414898,0.37110299,0.41002432,0.78955173,0.91971493,0.10347249,0.17586577,983.7,0.0063325712,-0.87278461,10.551805,0.18003224,0.084673643,0.1889322,0.2761156,Town
1733300,RED BUD CUSD 132                                            ,17,IL,-0.114797043769071,0.0628506927302334,0.00026334159,0.0011825929,0.011554888,0.0015112109,0.98548794,0.34245211,0.43324587,0.0029104517,0.15120968,382.1,0,0.57599527,10.911424,0.16261226,0.036290135,0.090497151,0.12018297,Town
