date,death,deathIncrease,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,states,totalTestResults,totalTestResultsIncrease
5/8/2020,74156,1788,6294,12460,5697,49769,69763,3075820,104722,531,6793,1285270,27198,56,8936236,312980
5/7/2020,72368,2732,5189,12832,3553,51445,64066,2971098,94737,529,7067,1258072,27228,56,8623256,329708
5/6/2020,69636,1931,4911,13196,1505,52607,60513,2876361,98543,449,4758,1230844,25312,56,8293548,293617
5/5/2020,67705,2496,4794,13346,1399,53168,59008,2777818,105694,439,4810,1205532,22392,56,7999931,279781
5/4/2020,65209,983,4579,13390,1152,52375,57609,2672124,86891,430,4852,1183140,22106,56,7720150,236185
5/3/2020,64226,1247,4502,13343,1027,52623,56457,2585233,94072,425,4762,1161034,25759,56,7483965,239746
5/2/2020,62979,1521,4386,13528,1276,54008,55430,2491161,80894,375,4846,1135275,29151,56,7244219,272341
5/1/2020,61458,1812,4300,13572,9055,54888,54154,2410267,106658,376,4712,1106124,32880,56,6971878,285664
4/30/2020,59646,2153,4192,13982,1425,54910,45099,2303609,79570,373,4708,1073244,30063,56,6686214,275235
4/29/2020,57493,2689,4093,14254,1865,56010,43674,2224039,89076,365,4803,1043181,26179,56,6410979,257142
4/28/2020,54804,2078,3798,14280,1253,56041,41809,2134963,69502,252,4760,1017002,25232,56,6153837,216600
4/27/2020,52726,1274,3720,14496,1183,56181,40556,2065461,62416,252,4867,991770,22404,56,5937237,194555
4/26/2020,51452,1212,2571,14753,1109,56167,39373,2003045,75262,227,5119,969366,27324,56,5742682,205595
4/25/2020,50240,1634,2516,15056,1234,57346,38264,1927783,120083,227,5266,942042,40697,56,5537087,275824
4/24/2020,48606,1973,2468,15274,1198,57367,37030,1807700,75512,227,5194,901345,31217,56,5261263,246096
4/23/2020,46633,1806,2428,15407,1409,59215,35832,1732188,64683,227,5463,870128,31938,56,5015167,217920
4/22/2020,44827,2150,2370,15705,1591,59204,34423,1667505,-213981,227,5474,838190,29273,56,4797247,335191
4/21/2020,42677,2478,2315,15636,1431,59795,32832,1881486,69105,214,5514,808917,27354,56,4462056,166966
4/20/2020,40199,1814,2193,15099,887,56720,31401,1812381,63578,214,5569,781563,24376,56,4295090,143980
4/19/2020,38385,1765,2145,15005,734,56491,30514,1748803,68216,214,5603,757187,26930,56,4151110,148978
4/18/2020,36620,1896,2096,15388,1459,57798,29780,1680587,69461,205,5733,730257,27573,56,4002132,172481
4/17/2020,34724,2116,2052,15493,1289,58904,28321,1611126,67602,187,6098,702684,31500,56,3829651,172149
4/16/2020,32608,2196,1834,15830,1261,59500,27032,1543524,79312,176,5940,671184,31266,56,3657502,183046
4/15/2020,30412,2541,1710,15302,1176,59930,25771,1464212,57485,173,6033,639918,29834,56,3474456,149278
4/14/2020,27871,2356,1642,14735,1466,59601,24595,1406727,73268,171,5981,610084,25943,56,3325178,160030
4/13/2020,25515,1630,1549,14199,2304,56283,23129,1333459,57296,158,6170,584141,24136,56,3165148,125464
4/12/2020,23885,1698,1449,14188,694,55294,20825,1276163,67358,158,5962,560005,28168,56,3039684,140619
4/11/2020,22187,2079,1399,13856,1208,55563,20131,1208805,64373,152,5986,531837,31323,56,2899065,158549
4/10/2020,20108,2081,1179,12693,1999,53167,18923,1144432,56216,39,5937,500514,33778,56,2740516,155771
4/9/2020,18027,2054,918,12445,965,51323,16924,1088216,82731,39,5798,466736,34992,56,2584745,171012
4/8/2020,15973,1999,862,10276,1332,45359,15959,1005485,68034,39,4142,431744,30964,56,2413733,165594
4/7/2020,13974,2042,738,9978,370,43849,14627,937451,79011,43,4047,400780,30416,56,2248139,169756
4/6/2020,11932,1314,663,7079,883,36159,14257,858440,69846,39,2961,370364,28260,56,2078383,137734
4/5/2020,10618,1340,609,5811,1131,32180,13374,788594,33621,39,650,342104,25843,56,1940649,129412
4/4/2020,9278,1478,403,5500,1732,30456,12243,754973,143525,39,656,316261,33122,56,1811237,231115
4/3/2020,7800,1288,335,4928,1189,25723,10511,611448,54760,39,623,283139,31835,56,1580122,142407
4/2/2020,6512,1175,305,4513,1320,22995,9322,556688,51405,32,576,251304,28135,56,1437715,131146
4/1/2020,5337,1006,256,3937,1302,20906,8002,505283,44681,32,561,223169,26204,56,1306569,123021
3/31/2020,4331,909,230,3487,1492,18155,6700,460602,44334,,506,196965,25000,56,1183548,114567
3/30/2020,3422,584,187,3087,584,15892,5208,416268,50165,,449,171965,21139,56,1068981,100592
3/29/2020,2838,506,156,2456,559,14055,4624,366103,41832,,433,150826,19683,56,968389,86974
3/28/2020,2332,550,140,2174,682,12393,4065,324271,68463,,390,131143,19785,56,881415,111430
3/27/2020,1782,411,124,1792,777,10887,3383,255808,45156,,293,111358,19215,56,769985,101260
3/26/2020,1371,313,91,1299,655,7805,2606,210652,42359,,258,92143,17592,56,668725,106945
3/25/2020,1058,241,74,,873,5140,1951,168293,33006,,167,74551,12657,56,561780,82429
3/24/2020,817,235,,,261,3938,1078,135287,33947,,,61894,10896,56,479351,86845
3/23/2020,582,102,,,190,2812,817,101340,21109,,,50998,11190,56,392506,57023
3/22/2020,480,145,,,139,2173,627,80231,12428,,,39808,9228,56,335483,52323
3/21/2020,335,62,,,316,1492,488,67803,16060,,,30580,6940,56,283160,52248
3/20/2020,273,70,,,44,1042,172,51743,11805,,,23640,6100,56,230912,49555
3/19/2020,203,51,,,34,617,128,39938,8361,,,17540,4606,56,181357,39258
3/18/2020,152,26,,,18,416,94,31577,5394,,,12934,3357,56,142099,32196
3/17/2020,126,24,,,33,325,76,26183,5856,,,9577,2128,56,109903,26755
3/16/2020,102,22,,,6,,43,20327,10931,,,7449,1711,56,83148,23114
3/15/2020,80,15,,,10,,37,9396,1987,,,5738,1262,51,60034,10202
3/14/2020,65,8,,,4,,27,7409,1876,,,4476,1026,51,49832,9816
3/13/2020,57,5,,,6,,23,5533,1241,,,3450,858,51,40016,9733
3/12/2020,52,9,,,5,,17,4292,991,,,2592,677,51,30283,6683
3/11/2020,43,6,,,3,,12,3301,1021,,,1915,418,51,23600,4447
3/10/2020,37,2,,,0,,9,2280,494,,,1497,436,51,19153,3322
3/9/2020,35,4,,,3,,9,1786,442,,,1061,304,51,15831,2055
3/8/2020,31,4,,,0,,6,1344,196,,,757,170,51,13776,1130
3/7/2020,27,1,,,0,,6,1148,274,,,587,142,51,12646,931
3/6/2020,26,6,,,1,,6,874,161,,,445,138,40,11715,2177
3/5/2020,20,4,,,1,,5,713,132,,,307,65,32,9538,1515
3/4/2020,16,2,,,4,,4,581,576,,,242,128,26,8023,890
3/3/2020,14,3,,,0,,,5,2,,,114,42,16,7133,279
3/2/2020,11,3,,,0,,,3,1,,,72,30,12,6854,203
3/1/2020,8,3,,,0,,,2,2,,,42,24,11,6651,96
2/29/2020,5,1,,,0,,,,0,,,18,3,8,6555,65
2/28/2020,4,2,,,0,,,,0,,,15,2,7,6490,3
2/27/2020,2,0,,,0,,,,0,,,13,1,7,6487,6446
2/26/2020,2,2,,,0,,,,0,,,12,2,6,41,0
2/25/2020,0,0,,,0,,,,0,,,10,1,6,41,1
2/24/2020,0,0,,,0,,,,0,,,9,1,6,40,2
2/23/2020,0,0,,,0,,,,0,,,8,1,6,38,0
2/22/2020,0,0,,,0,,,,0,,,7,0,6,38,1
2/21/2020,0,0,,,0,,,,0,,,7,0,6,37,1
2/20/2020,0,0,,,0,,,,0,,,7,0,6,36,1
2/19/2020,0,0,,,0,,,,0,,,7,0,6,35,6
2/18/2020,0,0,,,0,,,,0,,,7,0,6,29,0
2/17/2020,0,0,,,0,,,,0,,,7,0,6,29,1
2/16/2020,0,0,,,0,,,,0,,,7,0,6,28,2
2/15/2020,0,0,,,0,,,,0,,,7,0,6,26,4
2/14/2020,0,0,,,0,,,,0,,,7,1,5,22,0
2/13/2020,0,0,,,0,,,,0,,,6,1,5,22,1
2/12/2020,0,0,,,0,,,,0,,,5,0,5,21,1
2/11/2020,0,0,,,0,,,,0,,,5,0,5,20,1
2/10/2020,0,0,,,0,,,,0,,,5,0,5,19,1
2/9/2020,,0,,,0,,,,0,,,5,0,4,18,0
2/8/2020,,0,,,0,,,,0,,,5,0,4,18,2
2/7/2020,,0,,,0,,,,0,,,5,0,4,16,0
2/6/2020,,0,,,0,,,,0,,,5,2,4,16,1
2/5/2020,,0,,,0,,,,0,,,3,0,4,15,0
2/4/2020,,0,,,0,,,,0,,,3,0,4,15,4
2/3/2020,,0,,,0,,,,0,,,3,1,4,11,3
2/2/2020,,0,,,0,,,,0,,,2,0,4,8,0
2/1/2020,,0,,,0,,,,0,,,2,0,4,8,0
1/31/2020,,0,,,0,,,,0,,,2,0,4,8,3
1/30/2020,,0,,,0,,,,0,,,2,0,4,5,0
1/29/2020,,0,,,0,,,,0,,,2,0,4,5,2
1/28/2020,,0,,,0,,,,0,,,2,0,3,3,0
1/27/2020,,0,,,0,,,,0,,,2,0,3,3,1
1/26/2020,,0,,,0,,,,0,,,2,0,2,2,0
1/25/2020,,0,,,0,,,,0,,,2,0,2,2,0
1/24/2020,,0,,,0,,,,0,,,2,0,2,2,0
1/23/2020,,0,,,0,,,,0,,,2,0,2,2,1
1/22/2020,,0,,,0,,,,0,,,2,0,2,1,1
1/21/2020,,0,,,0,,,,0,,,2,1,1,0,0
1/20/2020,,0,,,0,,,,0,,,1,0,1,0,0
1/19/2020,,0,,,0,,,,0,,,1,1,1,0,0
1/18/2020,,0,,,0,,,,0,,,0,0,1,0,0
1/17/2020,,0,,,0,,,,0,,,0,0,1,0,0
1/16/2020,,0,,,0,,,,0,,,0,0,1,0,0
1/15/2020,,0,,,0,,,,0,,,0,0,1,0,0
1/14/2020,,0,,,0,,,,0,,,0,0,1,0,0
1/13/2020,,0,,,0,,,,0,,,,0,1,0,0
