sch_deid,grade,y1_boy_mean,y1_moy_mean,y2_boy_mean,y2_moy_mean,st,school_magnet,school_titlei,tr_ts,school_enroll,frpl_prop,pre,post,asian_prop,black_prop,hisp_prop,white_prop
10494,4,97.8767123287671,140.958904109589,81.1176470588235,120.530303030303,CA,Yes,Title I schoolwide school,72,341,1.20821114369501,119.417808219178,100.823975044563,0.00546904072538591,0.597222222222222,0.347222222222222,0.0138888888888889
10494,5,114.96875,128.857142857143,109.666666666667,121.625,CA,Yes,Title I schoolwide school,64,341,1.20821114369501,121.912946428572,115.645833333334,0.167718758677118,0.71875,0.265625,0
10495,1,13.8243243243243,26.9111111111111,15.28,27.5806451612903,CA,No,Title I schoolwide school,90,493,1.23123732251521,20.3677177177177,21.4303225806452,0.0333333333333333,0.13351579428403,0.944444444444444,0.0222222222222222
10495,2,37.2173913043478,65.8777777777778,41.4285714285714,67.1842105263158,CA,No,Title I schoolwide school,93,493,1.23123732251521,51.5475845410628,54.3063909774436,0.032258064516129,0.010752688172043,0.956989247311828,0.117574158599904
10495,3,71.6388888888889,97.747572815534,61.8714285714286,85.6619718309859,CA,No,Title I schoolwide school,104,493,1.23123732251521,84.6932308522115,73.7667002012073,0.00961538461538462,0.301405945588083,0.942307692307692,0.0288461538461538
10495,4,86.8877551020408,126.043010752688,82.0760869565217,115.179775280899,CA,No,Title I schoolwide school,98,493,1.23123732251521,106.465382927364,98.6279311187104,0.0207550829606496,0.197504772899928,0.948979591836735,0.0306122448979592
10495,5,97.2792792792793,123.68932038835,90.6052631578947,104.723076923077,CA,No,Title I schoolwide school,108,493,1.23123732251521,110.484299833815,97.6641700404859,0.00925925925925926,0.189536841869323,0.962962962962963,0.0185185185185185
10496,1,18.9302325581395,29.5227272727273,28.843137254902,31.6964285714286,CA,No,Title I schoolwide school,47,326,1.20245398773006,24.2264799154334,30.2697829131653,0.0212765957446809,0.0638297872340426,0.893617021276596,0
10496,2,57.0655737704918,80.5483870967742,51.9302325581395,88.0238095238095,CA,No,Title I schoolwide school,65,326,1.20245398773006,68.806980433633,69.9770210409745,0.0307692307692308,0.0769230769230769,0.892307692307692,0.725365015355326
10496,3,75.6363636363636,103.28125,74.5,96.2407407407407,CA,No,Title I schoolwide school,66,326,1.20245398773006,89.4588068181818,85.3703703703704,0.0151515151515152,0.0909090909090909,0.878787878787879,0.581035174638962
10496,4,89.6461538461539,122.630769230769,81.8253968253968,130.793650793651,CA,No,Title I schoolwide school,68,326,1.20245398773006,106.138461538461,106.309523809524,0,0.0294117647058824,0.911764705882353,0.0588235294117647
10496,5,100.026315789474,120.697368421053,97.8275862068966,123.035714285714,CA,No,Title I schoolwide school,80,326,1.20245398773006,110.361842105264,110.431650246305,0.260568970818166,0.0375,0.9375,0.025
10497,1,21.2716049382716,28.680412371134,18.6266666666667,24.8690476190476,CA,No,Title I schoolwide school,95,557,1.24775583482944,24.9760086547028,21.7478571428572,0,0.0105263157894737,0.957894736842105,0.0315789473684211
10497,2,48.8918918918919,81.1066666666667,35.9761904761905,59.9135802469136,CA,No,Title I schoolwide school,75,557,1.24775583482944,64.9992792792793,47.9448853615521,0,0.159818575320564,0.986666666666667,0.0133333333333333
10497,3,70.7234042553192,97.7731958762887,66.8115942028985,91.9705882352941,CA,No,Title I schoolwide school,97,557,1.24775583482944,84.248300065804,79.3910912190963,0.0616171682137133,0.632438119035807,0.989690721649485,0.0103092783505155
10497,4,75.6521739130435,110.613636363636,77.7802197802198,116.858695652174,CA,No,Title I schoolwide school,90,557,1.24775583482944,93.1329051383397,97.3194577161969,0.0763991117543128,0.0222222222222222,0.9,0.0777777777777778
10497,5,93.9523809523809,116.242990654206,83.816091954023,107.964705882353,CA,No,Title I schoolwide school,108,557,1.24775583482944,105.097685803293,95.890398918188,0.108235549218729,0.00925925925925926,0.944444444444444,0.0462962962962963
